#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-16-14-38-14
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313482194.380873	CgMPOE4PB0kWm4fUq9	147.32.84.165	1040	91.212.135.158	5678	bad_TCP_checksum	-	F	bro
1313482210.791626	CZXtZO1MgJEa2wYQA9	147.32.84.165	1041	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313482210.791626	CeFT9m29mW5YAyRMw1	147.32.84.165	1042	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313482837.236289	C4m1nh1kM0Kh64jIE2	147.32.84.165	3236	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483154.492256	CpZT8l1qInzJMP0c78	147.32.84.165	4657	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483244.021000	CG3ZV9194HDqlWiWqh	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483244.021000	CfnkWi3mCjHCc10YE6	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313483469.945728	Ci7Vng3xfJ7U1ENOEc	147.32.84.165	2058	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483489.767949	C7YXbJ3NiWYxN8CZ1j	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313483499.988691	C7YXbJ3NiWYxN8CZ1j	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313483801.021466	CtxPUS2FojYGVnx1r8	147.32.84.165	3456	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484118.278013	CkqD2B4qbAqD79Yld5	147.32.84.165	4778	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484427.122077	CJogbe2YezhzDGpW9c	147.32.84.165	2046	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484745.580054	CjygYt23Xa2xEIgJ98	147.32.84.165	3449	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485076.655989	CYJneC2BarFwGfGPAc	147.32.84.165	4857	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485383.697152	Cq1nFJ2a3LgFESlzvc	147.32.84.165	2251	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485411.000371	Cjc6Wn47UyrKnZWbsc	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313485424.556088	C6natf25n99Rugkhi7	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313485424.556088	Cjc6Wn47UyrKnZWbsc	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313485707.562761	CaTgeF2q7vIfisEKZg	147.32.84.165	3836	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486036.235074	Co6RAD3ez2fXzm7tXc	147.32.84.165	1421	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486369.714578	CFG0k749GnZfeOZWt	147.32.84.165	3049	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486709.112893	CZNPaO3KA9LYoNxbTj	147.32.84.165	4680	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487065.334894	CMfU783q12WgAeYCkb	147.32.84.165	2297	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487331.972263	CT1umVBtN9eXBoKPh	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313487351.356449	CVn2LpuBoVy4UjElc	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313487351.356449	CT1umVBtN9eXBoKPh	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313487386.206487	CDtZg93lJM7cBVFzha	147.32.84.165	3692	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487708.269773	CRMBPL3OmUZ42SuA4c	147.32.84.165	1395	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488132.389058	Cm3JBB2X0sgtXehP9f	147.32.84.165	2416	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488412.392180	CoBdPq43UBwW2iCK57	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488458.057227	CIrw6l2aav9IkkfhLl	147.32.84.165	4037	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488765.098830	CBteYh2AC3mgxBbzp	147.32.84.165	1651	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489107.591407	C1CpDE3oij3H2qVxm5	147.32.84.165	3226	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489107.591407	Cy5nN84dSAJTkeNkAg	147.32.84.165	1042	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489251.992347	C18GIl4pumyQH4csii	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313489264.669154	C3xyyc1rFI6jxNXsRi	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313489264.669154	C18GIl4pumyQH4csii	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313489411.628470	CZ7uFo2uzAqibvtEEk	147.32.84.165	4850	147.32.80.9	53	dns_unmatched_msg	-	F	bro
#close	2019-04-16-14-38-15
