#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-16-14-37-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313583870.684872	CKdW6v4I9TBijLqb98	60.190.223.75	2012	147.32.84.165	1048	bad_TCP_checksum	-	F	bro
1313583874.481675	CEZlpBRdoIMHSrp94	147.32.84.165	1049	195.88.191.59	80	bad_TCP_checksum	-	F	bro
1313583893.851834	CxqIoyU8JiGMT1Zsh	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313583907.784362	CGH75McNnmUsr1uT8	147.32.84.165	1051	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584043.022007	C2hbge2QhwrsCjAkL9	147.32.84.165	1346	58.42.247.165	6667	irc_line_too_short	-	F	bro
1313584044.425869	C2hbge2QhwrsCjAkL9	147.32.84.165	1346	58.42.247.165	6667	irc_invalid_command	-	F	bro
1313584044.425869	C2hbge2QhwrsCjAkL9	147.32.84.165	1346	58.42.247.165	6667	bad_HTTP_request	-	F	bro
1313584044.425869	C2hbge2QhwrsCjAkL9	147.32.84.165	1346	58.42.247.165	6667	empty_http_request	-	F	bro
1313584112.592624	COsyaq2p83T5dq1P94	147.32.84.165	1362	202.112.126.218	6667	irc_line_too_short	-	F	bro
1313584113.346505	COsyaq2p83T5dq1P94	147.32.84.165	1362	202.112.126.218	6667	irc_invalid_command	-	F	bro
1313584113.346505	COsyaq2p83T5dq1P94	147.32.84.165	1362	202.112.126.218	6667	bad_HTTP_request	-	F	bro
1313584113.346505	COsyaq2p83T5dq1P94	147.32.84.165	1362	202.112.126.218	6667	empty_http_request	-	F	bro
1313584134.678142	CGtwbe1QNlwoCp2vdf	147.32.84.165	1364	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584140.515543	Cc9MS72yRMNhrk3zo7	147.32.84.165	1368	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584146.243868	CAlZPy2R9q3YHmCj59	147.32.84.165	1372	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584148.242166	CR2UIJ3YPuto5g3DQa	147.32.84.206	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313584152.464835	CsulmZ3XkZxzPBSErf	147.32.84.165	1376	202.12.27.33	53	dns_unmatched_msg	-	F	bro
1313584152.464835	C8Gz4cnDS5Mf7P6K7	147.32.84.165	1377	193.0.14.129	53	dns_unmatched_msg	-	F	bro
1313584152.464835	CiWq344c9OldJAp322	147.32.84.165	1378	192.203.230.10	53	dns_unmatched_msg	-	F	bro
1313584158.261188	C5FLMv1YFw2Wb83jC6	147.32.84.206	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313584158.261188	CR2UIJ3YPuto5g3DQa	147.32.84.206	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313584183.348421	Cg54cb40zGG8id4rb9	147.32.84.165	1397	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584322.787616	CYYXku1yNnAaWNwvHl	147.32.84.165	1520	60.173.109.42	6667	irc_line_too_short	-	F	bro
1313584323.856669	CYYXku1yNnAaWNwvHl	147.32.84.165	1520	60.173.109.42	6667	irc_invalid_command	-	F	bro
1313584323.856669	CYYXku1yNnAaWNwvHl	147.32.84.165	1520	60.173.109.42	6667	bad_HTTP_request	-	F	bro
1313584323.856669	CYYXku1yNnAaWNwvHl	147.32.84.165	1520	60.173.109.42	6667	empty_http_request	-	F	bro
1313584359.717256	CsQcsY1z0Qlzn5BQQ8	147.32.84.165	1525	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CjqAljAFP8jEBvyfd	147.32.84.165	1527	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CxkUxf1K4vDFUdkm5l	147.32.84.165	1526	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CxZWaW2qjcOdbzsvh9	147.32.84.165	1528	147.32.80.9	53	dns_unmatched_msg	-	F	bro
