#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-15-12-06-37
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313482194.380873	CHeNb6346XKpITzo8j	147.32.84.165	1040	91.212.135.158	5678	bad_TCP_checksum	-	F	bro
1313482210.791626	CWEov9103k6Pe7CDPf	147.32.84.165	1041	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313482210.791626	CH3MaS2riAh038rty4	147.32.84.165	1042	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313482837.236289	CfJmed2bAuQj0pB4N1	147.32.84.165	3236	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483154.492256	CWVDwg30PmU1RTrAye	147.32.84.165	4657	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483244.021000	CbYq3d2NfsPJOmTR5f	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483244.021000	CisCZSPjSb6ISmFLi	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313483469.945728	CNkW9y3JVt4f8B9JL3	147.32.84.165	2058	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483489.767949	Cm3NmU24nlAaC0G8v9	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313483499.988691	Cm3NmU24nlAaC0G8v9	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313483801.021466	C1AHoL20Brx5FzV2tl	147.32.84.165	3456	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484118.278013	CRaprL3RJSFPBEGcld	147.32.84.165	4778	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484427.122077	CLeU1v25C4Xspc48Wf	147.32.84.165	2046	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484745.580054	CDmRQr322AoDoAoFh2	147.32.84.165	3449	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485076.655989	CG6I1jvAZf2NjzLWg	147.32.84.165	4857	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485383.697152	CDsIdB3rYjaRFn8yC8	147.32.84.165	2251	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485411.000371	CLPjrh1nkTNW2gZBk	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313485424.556088	CjZKuSG5LEEmBqcQ7	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313485424.556088	CLPjrh1nkTNW2gZBk	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313485707.562761	CK0h9aRA3XVk1i6m1	147.32.84.165	3836	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486036.235074	CJxCQujSutDK3Vata	147.32.84.165	1421	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486369.714578	CPhzU84q7yfybC0Add	147.32.84.165	3049	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486709.112893	CznkLd1ledYqOkawaj	147.32.84.165	4680	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487065.334894	CzFovp2mGcEAIhVPOd	147.32.84.165	2297	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487331.972263	CjVyVA4Af1LWlODaSc	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313487351.356449	CV4QZb8CIWFE5AcSe	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313487351.356449	CjVyVA4Af1LWlODaSc	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313487386.206487	CpN8jS1GFTJHJ695E4	147.32.84.165	3692	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487708.269773	CXjg4u1CI8jSt9aUol	147.32.84.165	1395	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488132.389058	CQJnHC2EC7odyWZ5M5	147.32.84.165	2416	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488412.392180	CE2y0I1Ls8g7OXkWGe	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488458.057227	CeevkP2hdcPi1Pu3Xl	147.32.84.165	4037	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488765.098830	CuYY0s1FEofdCimWb5	147.32.84.165	1651	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489107.591407	CFZRFE204GMjY783Ta	147.32.84.165	3226	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489107.591407	C6fzcJ2x2SWTGaTB9f	147.32.84.165	1042	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489251.992347	CZQu7m2eQLyreCun5f	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313489264.669154	CFetxn2oGz5iLn2Jha	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313489264.669154	CZQu7m2eQLyreCun5f	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313489411.628470	CIQafa1FjlGphpMfj3	147.32.84.165	4850	147.32.80.9	53	dns_unmatched_msg	-	F	bro
#close	2019-04-15-12-06-38
