#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-15-12-05-14
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313497470.315870	Cg8GOr2TOGF2Rl38Z7	147.32.84.165	1043	175.6.0.103	80	bad_TCP_checksum	-	F	bro
1313497484.939515	C7jbfl2155yR8lwKve	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313497496.154149	Cao0SG1jIkYI8UIZZ2	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313497755.066944	C7UuPB3SLhx5tsOHUf	147.32.84.165	1066	202.96.209.5	80	bad_SYN_ack	-	F	bro
1313497986.559880	Cu6ZMt42LAWzoO8Sd6	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_reply	-	F	bro
1313498333.275554	CQwOaO1DvQC9E9nNdg	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313498486.601428	CAUOKc3HsXHGkEILt5	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313499156.672461	CeA2R74q4aL4YNdP36	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313499166.742196	CyOZfmFWEVc3GSmlc	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313499166.742196	CeA2R74q4aL4YNdP36	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313499285.823385	CKIwjx2hEBATmd5o25	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313501077.292212	CSbYrG2ol6UjHXx8Bi	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313501087.423516	Ci0VEX31KsONVHLani	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313501087.423516	CSbYrG2ol6UjHXx8Bi	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313502005.053334	CRdJbw2RlVz50IHf7a	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313503446.248021	CzqZqv3W1C4krsbPRc	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313503465.753055	CuAhDS2exjannNsxAd	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313503465.753055	CzqZqv3W1C4krsbPRc	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313504034.300638	CueYbFNQe7FQ4HVl	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313505434.153917	Cq3Wze2IiSd6CzKat7	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313505490.749628	CP74HC2Mh89VIylTEh	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313506390.742218	Cjk4ToUZdq6TGXBH3	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313508773.884538	C6Fu0a0GCx2NhDf77	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313511124.023671	Cs0U6T3WVpjrpT4gH5	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313512810.732493	CRxxKJ3X7GVnsL7yk3	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313513513.008620	C6n0DK22qlFEYq9GI7	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313515869.487368	CivgAT2HLXYQSH4gpj	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313518252.132435	CvBCTD4XjxSppOlxbi	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313520049.606804	CUYxVb3BPLzai8jtjc	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313521270.710746	C0YaeJLM81f0cOW2	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313522998.026388	CRqyrQ20hNdz0rCgVg	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313523670.707293	CYDnYXVN0XBo0Sen	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313527238.275943	CIIhJGM4Qq3hhLiQ7	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313530108.308788	CbE38M10wviNLCAtec	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313531663.846346	CQdgym4e1olmSHdgl5	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313534838.300022	CesuV21ZwtZiCZXupi	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313537210.501160	C8tASl3bK8riVUgNF2	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313541683.090815	C6CY9w3yyjCSarPlxa	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313544233.357549	CAcaAC1C3VT8DolkKd	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313549058.866933	CWFyGc1Bwt885yNo15	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313551425.417949	Cm3fOs3yq8vb8CloXd	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313552507.484288	CStjj73g8Cy270d5Pa	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313556180.505163	Cr04h53jR0hUWeVtkj	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313563270.619070	CIsUe1DBh5tFS9KZ1	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313565658.632054	CREN774aHIoDaysmL8	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
#close	2019-04-15-12-05-16
