#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-15-10-16-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313482194.380873	CeWmZL34xqWE2VGpk	147.32.84.165	1040	91.212.135.158	5678	bad_TCP_checksum	-	F	bro
1313482210.791626	CwvJpa2N68ZCi8db2k	147.32.84.165	1041	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313482210.791626	CBmFSH11KEZR3UZN43	147.32.84.165	1042	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313482837.236289	CSJdeP11fOCl7R8RF4	147.32.84.165	3236	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483154.492256	CPQ5qH1X7QNS4MbkRi	147.32.84.165	4657	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483244.021000	C4xkvk1w1eTGffOPRc	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483244.021000	CzpbSu3VKBtpmbM8Ad	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313483469.945728	ChZY1v3dgFxF7foG81	147.32.84.165	2058	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313483489.767949	CcM1dfXtBIwRMRnc7	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313483499.988691	CcM1dfXtBIwRMRnc7	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313483801.021466	C7YvVq1JOBuxUIHEEc	147.32.84.165	3456	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484118.278013	Coa85D3Xu51DcRW1V5	147.32.84.165	4778	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484427.122077	CdvVby29NGVP0HVJmb	147.32.84.165	2046	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313484745.580054	C4vG3r2CXxKSusoz0k	147.32.84.165	3449	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485076.655989	CincO82YLF3z1Spt5c	147.32.84.165	4857	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485383.697152	Cs4r8n2bxzvfIvV9w1	147.32.84.165	2251	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313485411.000371	Cl87OQHXxmi5vFhoh	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313485424.556088	CF6vAz3Tc0whx2Zh03	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313485424.556088	Cl87OQHXxmi5vFhoh	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313485707.562761	CE4A2Hv8BPqUqGWA6	147.32.84.165	3836	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486036.235074	C0cetMIUUHwHPZJk	147.32.84.165	1421	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486369.714578	CKNcTr3qYce7PuzPE9	147.32.84.165	3049	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313486709.112893	CYTqEIPRp8FAVnNjj	147.32.84.165	4680	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487065.334894	CMUxls5qojGNOtgWd	147.32.84.165	2297	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487331.972263	CImJYq39ax3r1QBtVk	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313487351.356449	CfCGjc1DI3MeM3luqa	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313487351.356449	CImJYq39ax3r1QBtVk	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313487386.206487	CYZvV5AynPpcBy1t	147.32.84.165	3692	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313487708.269773	CHbTms2uFpuFWrYtzb	147.32.84.165	1395	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488132.389058	C1Oz1K1QluBFfXO695	147.32.84.165	2416	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488412.392180	C0givB4sHtkUOTBlj	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488458.057227	C3X6MR1PX67YKpDXY9	147.32.84.165	4037	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313488765.098830	CnJtAG3gZUVmqJFXb2	147.32.84.165	1651	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489107.591407	CoXTIt361q1Ylg97ra	147.32.84.165	3226	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489107.591407	C7sH6i16CchcHJSK2e	147.32.84.165	1042	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313489251.992347	CyucUi2F0bmqQ9wvg4	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313489264.669154	Ceqria4EVDb5kDGz4i	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313489264.669154	CyucUi2F0bmqQ9wvg4	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313489411.628470	CdFOXj2q4b2nSu0lcb	147.32.84.165	4850	147.32.80.9	53	dns_unmatched_msg	-	F	bro
#close	2019-04-15-10-16-05
