#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-15-09-58-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313497470.315870	Cx2gPncqj8JeHtwD8	147.32.84.165	1043	175.6.0.103	80	bad_TCP_checksum	-	F	bro
1313497484.939515	Chj52b4fHLIMaVqC92	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313497496.154149	CUOwX82aLSZ1fAt7Pl	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313497755.066944	Cw7WTZs6a68Ng6uq7	147.32.84.165	1066	202.96.209.5	80	bad_SYN_ack	-	F	bro
1313497986.559880	CnaRFB4MqNXy8biKxb	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_reply	-	F	bro
1313498333.275554	CGV31x2jp2K5ajJJ24	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313498486.601428	CCVM2rMJdS2HwgzUa	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313499156.672461	CGghuI3Wzs2Gi4M9Xa	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313499166.742196	CRHK7l2HVDw1o53lV4	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313499166.742196	CGghuI3Wzs2Gi4M9Xa	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313499285.823385	C5ICIu4yWy7QxMBrK1	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313501077.292212	CW7vlW28iqu0DnVpa3	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313501087.423516	CBinvrCfIvDUzvyzh	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313501087.423516	CW7vlW28iqu0DnVpa3	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313502005.053334	CEkylj1RW5x9wk0969	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313503446.248021	CXIwPC1axrlvXCSuok	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313503465.753055	Cu7r7V2ouIK00j8If1	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313503465.753055	CXIwPC1axrlvXCSuok	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313504034.300638	CmzeRs26q3CCglCFDe	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313505434.153917	CHOerw12SdBGvchch5	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313505490.749628	C6QwidtZWXstUAlLc	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313506390.742218	CD0vF716jfnmiwq66b	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313508773.884538	C04MqF2aa5hEHWCh0b	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313511124.023671	CBcQtaNEHDyryxgRj	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313512810.732493	CnqNhZ1d0HX0Z5PZVh	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313513513.008620	CsSrd8F2u3OiGhwdd	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313515869.487368	CHch1S284zKPA0mgp7	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313518252.132435	CmGZOF0lrbOrhjVAb	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313520049.606804	Cfrzdu3nwtpEQOEStk	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313521270.710746	C2XV6u1Wslv4QnIh9k	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313522998.026388	CR3L2L38dNUN7egUCg	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313523670.707293	Cjwh07426PriEimeTb	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313527238.275943	CFAvGx3dBkIXIrjj16	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313530108.308788	CnrAiK1PjqFNAb3Nee	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313531663.846346	CVWIMj1MwM6L2gaYbk	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313534838.300022	CmwFy947lRF2Nr1zIk	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313537210.501160	Cd8vyUbYYylmFRR7	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313541683.090815	C7PEPT27oaMpWJWoN8	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313544233.357549	CSNq2x3lhA5BiubSuj	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
