#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-15-10-12-51
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313583870.684872	CUOtvC1tWEu85lUHVb	60.190.223.75	2012	147.32.84.165	1048	bad_TCP_checksum	-	F	bro
1313583874.481675	CzZQ6C4NsVp1hiqVa	147.32.84.165	1049	195.88.191.59	80	bad_TCP_checksum	-	F	bro
1313583893.851834	CXXY0E1JShLmtNZOa2	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313583907.784362	CkBnl31c2r92u0btTg	147.32.84.165	1051	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584043.022007	CToM8B1evPIBEdLcYl	147.32.84.165	1346	58.42.247.165	6667	irc_line_too_short	-	F	bro
1313584044.425869	CToM8B1evPIBEdLcYl	147.32.84.165	1346	58.42.247.165	6667	irc_invalid_command	-	F	bro
1313584044.425869	CToM8B1evPIBEdLcYl	147.32.84.165	1346	58.42.247.165	6667	bad_HTTP_request	-	F	bro
1313584044.425869	CToM8B1evPIBEdLcYl	147.32.84.165	1346	58.42.247.165	6667	empty_http_request	-	F	bro
1313584112.592624	C7azV01P7ubYZ9r9Tk	147.32.84.165	1362	202.112.126.218	6667	irc_line_too_short	-	F	bro
1313584113.346505	C7azV01P7ubYZ9r9Tk	147.32.84.165	1362	202.112.126.218	6667	irc_invalid_command	-	F	bro
1313584113.346505	C7azV01P7ubYZ9r9Tk	147.32.84.165	1362	202.112.126.218	6667	bad_HTTP_request	-	F	bro
1313584113.346505	C7azV01P7ubYZ9r9Tk	147.32.84.165	1362	202.112.126.218	6667	empty_http_request	-	F	bro
1313584134.678142	ClKeGadveII7OaY4d	147.32.84.165	1364	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584140.515543	ClZL2k1L2w5FTY5jse	147.32.84.165	1368	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584146.243868	CtqZsn4g4uMthxp2f6	147.32.84.165	1372	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584148.242166	C2MPj49Qq2pbfCzbl	147.32.84.206	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313584152.464835	Cdpg773ptXZEM3geMg	147.32.84.165	1376	202.12.27.33	53	dns_unmatched_msg	-	F	bro
1313584152.464835	CXGXFz4ocShsgOWGt9	147.32.84.165	1377	193.0.14.129	53	dns_unmatched_msg	-	F	bro
1313584152.464835	COTfzl2edfgyZNFh9	147.32.84.165	1378	192.203.230.10	53	dns_unmatched_msg	-	F	bro
1313584158.261188	CxHwHT1mq271wUczKk	147.32.84.206	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313584158.261188	C2MPj49Qq2pbfCzbl	147.32.84.206	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313584183.348421	CFgjnt1dS6FmbeW14h	147.32.84.165	1397	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584322.787616	CkThgP1GbeRHg6oZGc	147.32.84.165	1520	60.173.109.42	6667	irc_line_too_short	-	F	bro
1313584323.856669	CkThgP1GbeRHg6oZGc	147.32.84.165	1520	60.173.109.42	6667	irc_invalid_command	-	F	bro
1313584323.856669	CkThgP1GbeRHg6oZGc	147.32.84.165	1520	60.173.109.42	6667	bad_HTTP_request	-	F	bro
1313584323.856669	CkThgP1GbeRHg6oZGc	147.32.84.165	1520	60.173.109.42	6667	empty_http_request	-	F	bro
