#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-17-11-43-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313497470.315870	Cl5n0a1YPbHqN16G5l	147.32.84.165	1043	175.6.0.103	80	bad_TCP_checksum	-	F	bro
1313497484.939515	CnXyRuRmMmCr5Vbbg	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313497496.154149	CIleWc2UMLFlyAXRH5	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313497755.066944	CCVUWh2A54VrrmlCKh	147.32.84.165	1066	202.96.209.5	80	bad_SYN_ack	-	F	bro
1313497986.559880	CZj9zyyb5lNA2BDdl	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_reply	-	F	bro
1313498333.275554	C6FjLYPp8BPu0W3q4	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313498486.601428	C1QPO41g32ikRFYiKd	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313499156.672461	CPsjSU3PlW4tB1m8B2	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313499166.742196	C5oSYI3FxVrjs7wNk9	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313499166.742196	CPsjSU3PlW4tB1m8B2	147.32.84.165	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313499285.823385	CnUROW2jtsqx53xf2g	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313501077.292212	Cn8UaO4pmhBkvR8F8	147.32.84.165	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313501087.423516	CAAqUNS6i5OuFKxwl	147.32.84.165	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
