#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-04-17-11-47-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1313583870.684872	C7Rzdf2N6U2EIC3ZVc	60.190.223.75	2012	147.32.84.165	1048	bad_TCP_checksum	-	F	bro
1313583874.481675	CkZxAh431EGsTfm6k2	147.32.84.165	1049	195.88.191.59	80	bad_TCP_checksum	-	F	bro
1313583893.851834	CEN1MP33pY06N3lI2i	147.32.84.165	1025	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313583907.784362	CNV6mC1LmWpBmYSUp5	147.32.84.165	1051	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584043.022007	COWIeA3oWYnJXXZO09	147.32.84.165	1346	58.42.247.165	6667	irc_line_too_short	-	F	bro
1313584044.425869	COWIeA3oWYnJXXZO09	147.32.84.165	1346	58.42.247.165	6667	irc_invalid_command	-	F	bro
1313584044.425869	COWIeA3oWYnJXXZO09	147.32.84.165	1346	58.42.247.165	6667	bad_HTTP_request	-	F	bro
1313584044.425869	COWIeA3oWYnJXXZO09	147.32.84.165	1346	58.42.247.165	6667	empty_http_request	-	F	bro
1313584112.592624	CcVizR16FfXWMWT2Ih	147.32.84.165	1362	202.112.126.218	6667	irc_line_too_short	-	F	bro
1313584113.346505	CcVizR16FfXWMWT2Ih	147.32.84.165	1362	202.112.126.218	6667	irc_invalid_command	-	F	bro
1313584113.346505	CcVizR16FfXWMWT2Ih	147.32.84.165	1362	202.112.126.218	6667	bad_HTTP_request	-	F	bro
1313584113.346505	CcVizR16FfXWMWT2Ih	147.32.84.165	1362	202.112.126.218	6667	empty_http_request	-	F	bro
1313584134.678142	CP7t6r24rLoFvQ8wI8	147.32.84.165	1364	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584140.515543	CFYezG7wgznundvZe	147.32.84.165	1368	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584146.243868	CQwqAhbVObi8ZqwSd	147.32.84.165	1372	198.32.64.12	53	dns_unmatched_msg	-	F	bro
1313584148.242166	CxqrLV2tG3pFUPhqrd	147.32.84.206	137	147.32.84.171	137	dns_unmatched_reply	-	F	bro
1313584152.464835	CiarejpwVYYhmSNw6	147.32.84.165	1376	202.12.27.33	53	dns_unmatched_msg	-	F	bro
1313584152.464835	CAECyk17s4muuQhove	147.32.84.165	1377	193.0.14.129	53	dns_unmatched_msg	-	F	bro
1313584152.464835	C5NAwt2uzVhG7ybaGc	147.32.84.165	1378	192.203.230.10	53	dns_unmatched_msg	-	F	bro
1313584158.261188	CNQKp83PPnc1NhIaAe	147.32.84.206	137	147.32.84.255	137	dns_unmatched_msg	-	F	bro
1313584158.261188	CxqrLV2tG3pFUPhqrd	147.32.84.206	137	147.32.84.171	137	dns_unmatched_msg	-	F	bro
1313584183.348421	CwapBWJtSmEeWDuTb	147.32.84.165	1397	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584322.787616	CWzAZ2RB0X0t2kDw	147.32.84.165	1520	60.173.109.42	6667	irc_line_too_short	-	F	bro
1313584323.856669	CWzAZ2RB0X0t2kDw	147.32.84.165	1520	60.173.109.42	6667	irc_invalid_command	-	F	bro
1313584323.856669	CWzAZ2RB0X0t2kDw	147.32.84.165	1520	60.173.109.42	6667	bad_HTTP_request	-	F	bro
1313584323.856669	CWzAZ2RB0X0t2kDw	147.32.84.165	1520	60.173.109.42	6667	empty_http_request	-	F	bro
1313584359.717256	CDpmtL3qHf49pvfpu1	147.32.84.165	1525	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CI44Du4ckOFSPshrf	147.32.84.165	1527	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CRhLOhOhozi5vDZcd	147.32.84.165	1526	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CvV6Fl4fZE0nhBRSj3	147.32.84.165	1528	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CQUutD2itynWWxPZ6e	147.32.84.165	1529	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	C1dM24rxMte580g6	147.32.84.165	1530	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CIjH0T1sHYnf8mHEQc	147.32.84.165	1531	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CMRtDe3LmvOfexqL62	147.32.84.165	1532	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CAfRRV3CKYWltObSJ4	147.32.84.165	1536	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CwNUfR1pffmqjcMvag	147.32.84.165	1535	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CljyAE3KFoI8qdSEqd	147.32.84.165	1533	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CgNLKW2m7l3kyQ259i	147.32.84.165	1537	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CR5bbv4iUgz5MU6yyd	147.32.84.165	1534	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	C73bphsvobVLQMBii	147.32.84.165	1538	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CNRLur48xivzcxnin4	147.32.84.165	1539	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CTsMXw3uPvXjD73jh1	147.32.84.165	1540	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CVmmS02JURKMkAFjjc	147.32.84.165	1542	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CLgzKp4LzD53mudFL6	147.32.84.165	1544	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CxGQtc1rGhAt3o2fe4	147.32.84.165	1546	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	Cyxq8c4A469LqqAFq2	147.32.84.165	1548	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CsO1sc7iBM0QUNjD4	147.32.84.165	1549	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CXRI8z4kJJj613Dd19	147.32.84.165	1552	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	ChwoYW23xuqo1bvWje	147.32.84.165	1553	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	CqqqYt3hUgTE26H7Y9	147.32.84.165	1556	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584359.717256	Cfolmu3UE4AeHSo2ef	147.32.84.165	1555	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584388.988896	C1MSwZ14FUU3Hpqib2	147.32.84.165	1579	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584388.988896	COJpTv2Il5DFTuRa16	147.32.84.165	1580	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584389.840718	CILsueOmGdacEZZmf	147.32.84.165	1583	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584389.840718	CehCbf4DxrgLStkBha	147.32.84.165	1584	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584389.840718	Cpnp2E28C6E29op7O8	147.32.84.165	1586	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584389.840718	CFRg9jPnIv2axpDoe	147.32.84.165	1591	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584403.850433	C0ta7Q2FAb9niDyDFh	147.32.84.165	1594	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584403.850433	C6J77g1mVcuncj4qWg	147.32.84.165	1595	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584403.850433	C2bsEk00cLW8FQMx	147.32.84.165	1597	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584403.850433	CXYnUH1xIUCieC2Lji	147.32.84.165	1598	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CeLNkF2Vr3ozCWP6pj	147.32.84.165	1601	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	C42ojg0xWjVvDWmpl	147.32.84.165	1602	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CGcUXg2uTN8SC1kTRe	147.32.84.165	1605	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CeZGYfef2OqlTkd07	147.32.84.165	1606	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CjG2xx2sGVqRrW2bHb	147.32.84.165	1607	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CvHsKG2YZl7ifUtdo9	147.32.84.165	1608	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CS3SH64LSbRaJMDvc6	147.32.84.165	1609	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CH8YVd49Gs1XyqNwpf	147.32.84.165	1611	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CMYMo33ToBV5IouXMj	147.32.84.165	1614	147.32.80.9	53	dns_unmatched_msg	-	F	bro
1313584404.652189	CTrdf22tOvkZ4CsKfh	147.32.84.165	1615	147.32.80.9	53	dns_unmatched_msg	-	F	bro
