#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	out_log_5
#open	2019-04-17-16-27-57
#fields	source_ip	destination_ip	destination_url	total_requests	periodicity
#types	addr	addr	string	count	double
147.32.84.192	-	www.honestquickcash.#close	2019-04-17-16-27-57
93	-	r1-ads.ace.advertising.com	3	0.107273
147.32.84.204	-	cdn.dsultra.com	8	0.000227
147.32.84.205	-	cornershowerunits.info	3	0.338915
147.32.84.193	-	carefurnishings.com	6	0.276565
147.32.84.191	-	ad.yieldmanager.com	14	0.164824
147.32.84.165	-	108953398.com	3	0.612539
147.32.84.193	-	photos.pop6.com	3	0.29819
147.32.84.193	-	photos.friendfinder.com	4	0.000211
147.32.84.192	-	208.87.32.71	6	0.002776
147.32.84.192	-	adserving.cpxadroit.com	4	0.703187
147.32.84.193	-	static.ak.fbcdn.net	3	0.103497
147.32.84.165	-	ad.yieldmanager.com	37	0.160915
147.32.84.191	-	cdn.dsultra.com	8	0.000176
147.32.84.193	-	image12.bizrate-images.com	6	0.016206
147.32.84.193	-	graphics.pop6.com	3	0.598745
147.32.84.165	-	cdn.dsultra.com	8	0.013956
147.32.84.165	-	cdn1.image.pornhub.phncdn.com	19	0.105075
147.32.84.165	-	cdn.optmd.com	3	0.272603
147.32.84.192	-	content.yieldmanager.edgesuite.net	4	0.435361
147.32.84.204	-	riskslot.com	3	0.237317
147.32.84.192	-	ppcaffiliateads.com	3	0.835701
147.32.84.193	-	image11.bizrate-images.com	6	0.014338
147.32.84.193	-	fastkeepfit.net	6	0.254742
147.32.84.192	-	cdn.dsultra.com	8	0.000261
147.32.84.193	-	image13.bizrate-images.com	4	0.000272
147.32.84.192	-	images.ddc.com	11	0.000747
147.32.84.193	-	cdn.dsultra.com	8	0.000616
147.32.84.193	-	graphics.friendfinder.com	33	0.000233
147.32.84.193	-	riskslot.com	3	0.239407
147.32.84.205	-	p.internettraffic.com	3	0.625544
147.32.84.191	-	adserving.cpxadroit.com	4	0.809323
147.32.84.193	-	images.smartname.com	12	0.000129
147.32.84.192	-	adserving.cpxinteractive.com	5	0.678145
147.32.84.193	-	alexio.cz	24	0.004462
147.32.84.192	64.236.79.229	-	12	0.000542
147.32.84.165	94.127.76.180	-	8	0.013956
147.32.84.191	217.163.21.39	-	22	0.0
147.32.84.192	64.38.232.180	-	5	0.835701
147.32.84.191	68.67.185.216	-	10	0.0
147.32.84.191	69.16.175.10	-	8	0.0
147.32.84.165	74.125.232.203	-	10	0.0
147.32.84.205	208.87.32.75	-	6	0.0
147.32.84.193	94.127.76.180	-	8	0.000616
147.32.84.191	68.67.179.212	-	10	0.0
147.32.84.191	94.127.76.180	-	8	0.000176
147.32.84.192	195.113.232.96	-	6	0.0
147.32.84.193	68.67.185.212	-	4	0.006257
147.32.84.165	74.125.232.199	-	4	0.0
147.32.84.191	195.113.232.96	-	4	0.463288
147.32.84.192	93.188.130.45	-	22	0.000747
147.32.84.165	91.228.230.31	-	5	0.612539
147.32.84.193	195.113.232.98	-	5	0.0
147.32.84.192	67.214.158.5	-	4	0.0
147.32.84.204	94.127.76.180	-	8	0.000227
147.32.84.193	195.113.232.89	-	13	0.000129
147.32.84.192	206.51.230.74	-	103	0.0
147.32.84.192	74.121.138.200	-	4	0.0
147.32.84.165	195.113.232.97	-	20	0.069127
147.32.84.205	74.117.114.75	-	4	0.625544
147.32.84.192	195.113.232.73	-	3	0.0
147.32.84.165	217.163.21.41	-	24	0.0
147.32.84.193	81.95.96.148	-	29	0.0
147.32.84.165	217.163.21.35	-	24	0.0
147.32.84.192	68.67.185.212	-	10	0.0
147.32.84.192	217.163.21.34	-	24	0.0
147.32.84.193	69.64.147.243	-	24	0.0
147.32.84.192	74.117.116.125	-	20	0.741945
147.32.84.165	87.248.203.253	-	8	0.04359
147.32.84.192	208.87.32.71	-	11	0.002776
147.32.84.205	91.220.0.52	-	4	0.0
147.32.84.165	192.221.101.126	-	38	0.0
147.32.84.193	94.127.76.60	-	19	0.000283
147.32.84.192	217.163.21.40	-	4	0.0
147.32.84.192	69.16.175.10	-	8	0.0
147.32.84.193	195.113.232.88	-	44	0.000233
147.32.84.193	217.163.21.36	-	4	0.0
147.32.84.192	94.127.76.180	-	8	0.000261
147.32.84.193	195.113.232.82	-	3	0.103497
#close	2019-04-17-16-27-57
